t,average_score
720,-16.564231463492266
721,-18.871648034368903
722,-15.241608498128327
723,-13.731319662265541
724,-12.052844047762061
725,-10.041728440752326
726,-5.197095997422075
727,-2.2606156729402125
728,-3.685529039442767
729,-2.829183897135085
730,-1.7209072041174145
731,0.0965233061161311
732,3.3510054104800564
733,5.126446030196546
734,6.284562411248353
735,5.3963372959938845
736,4.911997621941997
737,6.399096912785248
738,7.513022170512756
739,10.902180242545837
740,11.93763413632523
741,15.033481892842254
742,17.0681974229689
743,17.210546957434218
744,17.484277972444755
745,19.892336135126637
746,20.270054501113947
747,22.741295152241058
748,25.651000738455878
749,27.749373957185377
750,30.476758060716016
751,32.057779083630756
752,35.80402492372565
753,39.16188783884731
754,40.83019959258863
755,42.11990308409564
756,45.71113697127017
757,47.4882967426839
758,46.33599378353805
759,45.72066397030019
760,47.11084533347506
761,49.35900948130697
762,52.3529129830519
763,53.95299695490359
764,52.34912130500607
765,52.567630670165464
766,53.23738815288614
767,53.0958247232868
768,52.5827005691492
769,52.95310957953814
770,51.08974980067567
771,53.68347688931983
772,56.42005410255038
773,58.62648983785389
774,61.46279805055666
775,62.457782319250256
776,65.91869488093198
777,69.31056959488096
778,68.83317729194374
779,69.55992948482509
780,69.67902055982616
781,70.00136635293654
782,72.43080540589662
783,72.40080167355663
784,70.99702475345947
785,70.90673382046324
786,68.22162221461278
787,69.8137778345361
788,70.51503384709517
789,69.72549280243415
790,69.85077796197677
791,71.0972739325425
792,73.7395174916085
793,77.1096569680657
794,79.88371484115632
795,81.8920631083786
796,82.42155787205829
797,85.08249073625989
798,87.70656230279987
799,88.58374336912755
800,88.7607966113404
801,92.6089483931012
802,90.23161100566307
803,86.93420530809337
804,89.46917929825426
805,92.56238151249524
806,90.14057632247739
807,90.92013088013562
808,93.41065917847205
809,95.8866767282636
810,94.29078656579624
811,97.63728519981215
812,98.24514189473268
813,98.66095278019702
814,98.88904533399936
815,101.21228618529845
816,101.21612904400347
817,101.39034185818726
818,102.58974999906656
